energy,Ac,Ag,Al,Ar,As,At,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Fe,Fr,Ga,Gd,Ge,H,He,Hf,Hg,Ho,I,In,Ir,K,Kr,La,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Nd,Ne,Ni,O,Os,P,Pa,Pb,Pd,Pm,Po,Pr,Pt,Ra,Rb,Re,Rh,Rn,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Tc,Te,Th,Ti,Tl,Tm,U,V,W,Xe,Y,Yb,Zn,Zr
5.75,566.81712,472.54921,30.18825,0.04289,91.08644,51.26638,767.18907,1.21025,221.42595,0.43006,454.91056,58.24716,2.34982,57.66148,404.88194,323.83886,36.86628,77.88404,200.64672,123.15041,98.30389,205.4484,238.25908,111.78901,3.96297,61.993,52.94338,77.9082,173.21198,77.12668,0.0,1e-05,409.54818,568.71264,221.13976,296.94906,363.43373,839.97119,27.42794,0.06951,385.29515,0.04835,291.37607,15.85647,50.56575,336.04962,0.002,6.58154,264.14284,128.99425,0.00438,91.14157,0.00347,808.93124,30.56102,922.50538,509.56383,506.20552,141.73376,456.54167,356.73449,835.54121,272.26857,33.37861,729.25911,498.84001,0.04695,465.70836,43.00874,364.98332,116.92612,81.15003,32.99865,152.36243,379.77701,61.00983,534.30945,190.63063,406.5218,349.07036,675.04534,194.22212,514.00715,256.45379,1140.54703,284.36269,645.30246,0.34049,117.30258,197.91123,87.61743,184.78871
6.25,467.35464,384.61143,24.09735,0.03451,73.45754,42.009,628.99057,0.95091,195.21606,0.34142,373.03896,47.22189,1.83868,46.5054,329.00057,357.1982,29.45404,62.73397,307.00931,101.10775,79.01426,167.96563,194.98009,91.60222,3.12731,49.95947,43.43613,62.55542,141.91131,61.97968,0.0,1e-05,335.90195,466.47651,180.7398,242.42608,294.90264,687.39018,22.10664,0.05624,361.23391,0.03966,239.22413,12.53417,40.70698,270.93707,0.00157,5.19892,213.00885,305.70101,0.00346,73.31887,0.00273,662.19496,24.37965,762.21574,417.64815,411.88603,339.06515,374.32979,388.19321,683.93372,223.94533,26.93776,597.31701,403.6513,0.03847,376.21115,34.3366,296.49764,94.50655,65.64999,26.33253,124.46357,308.1757,49.21812,437.84894,155.97243,327.82155,284.16277,556.47538,158.23771,421.19003,210.51787,944.5647,230.95997,528.34121,0.27883,94.54577,162.57535,70.4052,149.01313
6.75,389.69303,318.08021,19.55844,0.02815,60.27205,34.99227,523.17398,0.76556,162.68541,0.2782,310.61876,38.96249,1.47311,38.18324,272.34048,343.57721,24.00728,51.58695,253.9474,84.06725,64.84769,140.05151,162.34006,179.05967,2.52162,40.9821,36.17797,51.33214,118.00919,50.81871,0.0,1e-05,280.80446,388.43433,150.58771,200.65105,243.81719,571.89528,18.14868,0.04645,300.38145,0.03347,199.94406,10.11889,284.90237,222.90771,0.00126,4.1949,175.23299,343.75137,0.00279,60.21625,0.0022,551.33639,19.84315,639.2524,348.01173,339.51265,273.15303,311.62487,368.6672,568.83269,186.54577,22.18198,497.65453,332.31051,0.03205,309.31049,27.96752,245.00269,77.67955,53.99687,21.43737,295.71788,254.64486,40.50722,365.83764,130.09979,269.61889,234.90535,465.18711,130.35683,350.98395,175.19935,794.86953,191.64711,441.14174,0.23123,77.77321,135.55019,57.8207,122.51096
7.25,329.14934,265.48861,16.0177,0.02325,49.98477,29.53445,441.31172,0.62661,136.64613,0.23082,262.44962,32.39962,1.19868,31.73811,227.79395,289.35714,19.82434,42.876,213.15976,70.49194,53.96179,117.92699,136.97786,178.68749,2.06204,283.78219,30.55197,42.63379,280.70701,42.17512,0.0,0.0,237.29665,327.61045,127.1202,167.90731,204.11835,482.85955,15.04749,0.03874,252.30445,0.02882,168.55697,8.28221,238.19542,185.82721,0.00103,3.43194,145.98258,333.43715,0.00228,50.14217,0.0018,465.771,16.36386,540.06908,293.96411,283.12754,361.37222,263.17925,311.26139,480.03881,157.6117,18.51052,420.6702,276.8851,0.02704,257.76566,23.07892,204.96678,64.60119,44.84787,17.68361,336.46772,213.09919,33.78313,309.53266,109.28306,224.76137,196.50912,392.86151,108.58376,296.28596,147.75335,673.67704,160.29533,373.23896,0.19364,64.84143,114.24846,48.05627,102.09177
7.75,281.35482,223.95261,13.27927,0.01944,41.97503,25.25369,377.03578,0.52061,115.74397,0.19473,224.37474,27.23669,0.9893,26.66659,192.31387,245.47823,16.56018,293.56429,180.51144,59.66876,45.45895,280.12181,116.69219,207.10707,1.70742,239.21793,26.09595,35.85093,321.04722,35.43897,0.0,0.0,202.24067,279.78288,108.04866,142.04775,172.53006,412.88569,12.5841,0.03259,213.85198,0.02527,143.71492,6.86229,202.11599,156.64515,0.00085,2.84261,123.06356,283.87375,0.00189,42.18781,0.00149,398.47719,13.65406,461.31285,251.19881,238.72038,308.37756,224.99572,264.68277,410.29374,134.61962,15.61723,360.08048,233.49291,0.02311,217.40337,19.26974,173.43685,54.3021,37.63567,14.74662,328.42853,180.32931,28.51415,264.19533,256.36168,189.60531,166.25118,335.69603,91.39763,252.93173,126.06288,575.41901,135.12241,319.18253,0.16384,54.69114,97.44072,40.4384,86.10985
8.25,242.91133,190.72097,11.12432,0.01641,35.61751,21.81293,325.71453,0.43828,98.88608,0.16671,193.76495,23.08299,0.82655,22.56612,163.80343,209.89195,13.97202,248.99066,153.69646,50.9735,38.67489,234.96199,276.63204,205.89588,1.42931,204.97386,22.53841,30.46088,316.45347,30.0899,0.0,0.0,174.0879,241.60307,253.32747,121.34675,147.09659,356.94482,10.62765,0.02768,182.81262,0.02251,123.76089,5.74556,172.94006,133.3722,0.00071,2.37934,104.80335,243.39334,0.00158,283.6965,0.00124,344.64945,11.50718,397.92766,216.80872,203.3195,264.78085,194.36553,226.53773,354.56656,116.22885,13.26754,310.95974,198.90565,0.01996,185.22232,16.24817,148.13553,46.0753,31.91477,12.36699,282.27898,153.84345,24.29939,227.36858,301.26235,161.45561,142.03655,289.50238,77.64043,218.29872,108.33842,496.32224,114.89984,274.73704,0.13996,46.60117,83.90341,34.38211,73.35273
8.75,211.34008,163.86406,9.40989,0.01398,30.47944,18.97462,283.557,0.37378,85.22345,0.14478,168.48544,19.73424,0.69905,19.24739,140.71215,180.93349,11.89963,215.60609,131.97762,43.93546,142.70209,278.10827,235.03118,178.31844,1.20869,176.99327,19.60164,26.09395,274.71721,25.76157,0.0,0.0,151.0395,210.26628,301.61265,104.62016,126.33845,310.70861,9.06033,0.02365,157.60263,0.02034,107.26589,4.85768,148.66505,114.58695,0.0006,2.01127,90.05907,210.0345,0.00134,243.71253,0.00105,299.41649,9.79137,345.61202,188.52866,174.72131,228.71144,169.09544,195.3319,308.80849,101.11363,11.36328,269.93672,170.94221,0.01736,159.14599,13.83182,127.46317,39.45757,27.29738,10.46702,244.17665,132.28758,20.82969,197.2264,299.89011,138.67313,122.33347,251.52872,66.56228,189.89682,251.67608,431.09709,98.58669,238.24733,0.12065,40.05892,198.64767,29.4705,63.03542
9.25,184.18488,141.676,8.03054,0.01202,26.19249,16.52923,247.38165,0.32293,73.99753,0.12754,146.82768,16.9573,0.59859,16.55964,121.62489,157.07991,10.22551,187.69237,114.35286,38.15503,220.84484,281.28259,280.96299,155.15983,1.03179,153.62158,17.07644,22.43354,239.36982,22.14119,0.0,0.0,130.59742,183.42608,298.6897,90.69808,109.17947,270.40376,7.79147,0.02032,136.84879,0.01864,250.3086,4.14263,128.87991,99.10665,0.00051,1.71504,77.89231,182.42357,0.00114,213.11082,0.0009,260.48396,8.38649,301.16388,164.34588,151.10074,198.75743,147.33979,169.58544,269.09097,88.08947,9.76593,234.88583,147.83512,0.01513,137.59333,11.8811,110.27182,33.97862,23.45664,8.93965,212.35803,114.31142,17.95644,171.50026,262.5697,119.92114,105.93975,219.26623,57.60466,165.5854,221.14859,375.56805,85.37756,207.29608,0.10475,34.56279,168.72108,25.23104,54.53052
9.75,161.3523,123.22422,6.89521,0.01039,22.64608,14.48046,216.68476,0.28145,64.63024,0.11346,128.69606,14.66083,0.51659,14.33027,105.75599,137.17865,8.8383,163.99248,99.64153,33.30502,192.67658,247.58938,281.63548,135.70283,0.8865,133.97814,14.95982,19.34375,209.48029,19.14569,0.0,0.0,305.4725,160.8118,262.53632,78.9948,94.91482,236.61635,6.73949,0.01757,119.52002,0.01725,214.74529,3.55452,112.35398,86.21787,0.00044,1.47151,67.76597,159.32124,0.00098,186.73496,0.00077,227.9836,7.21574,263.89152,144.09524,131.42971,173.6112,129.10333,148.09553,235.51233,77.15028,8.44336,205.55827,128.56909,0.01326,119.66673,10.2654,95.87377,29.41645,20.27987,7.68137,185.6073,99.35684,15.54302,401.35095,230.23707,104.32692,92.16719,192.10233,50.04627,145.2225,267.0841,329.17014,74.35388,180.34478,0.09134,29.98306,175.01804,168.01018,47.36556
10.25,141.97625,107.66254,5.9467,0.00902,19.67585,12.74655,190.4938,0.24704,56.66607,0.10177,113.35915,12.737,0.44857,12.45337,92.38377,120.33717,7.67167,143.67771,87.17652,29.17029,169.36448,217.55767,248.45117,119.13013,0.76535,117.29013,13.16812,128.75048,183.94543,16.61606,0.0,0.0,262.87211,141.51339,230.92098,69.02908,82.8952,208.01106,5.85429,0.01526,104.8445,0.01609,260.50029,3.06366,98.34694,75.33836,0.00038,1.26837,59.17527,139.74823,0.00085,163.70768,0.00067,199.98404,6.23078,232.24055,126.92586,114.81854,152.26487,113.67413,129.91028,207.00924,67.88586,7.3352,179.87225,112.30783,0.01167,104.55886,8.90189,83.69469,25.57094,17.61885,6.62916,162.84997,86.75731,13.50287,346.03598,202.1409,91.1709,80.47789,169.00646,43.58185,127.89488,270.03219,289.8123,65.00141,422.09831,0.07989,26.10267,186.01047,146.6598,41.27883
