energy,Adipose,Air,Al,Au,Ba,Be,Bone,Ca,Cu,Er,Fe,Ga,Glass,Hf,I,Mg,Mn,Mo,Nb,Pb,Pd,Pmm,Pt,Rh,Si,Skeletal,Ti,Tiss,W,Wat,Y,Zn
25.25,0.03572,5.62e-05,0.4696,20.49436114,5.355,0.03548,0.3936,1.006,15.4,24.75,10.2362,11.87,0.265,42.7251,6.5076,0.2453,8.407,50.0,35.22,52.3235,63.105,0.04451,86.23,62.7946,0.52192,0.05198,3.591,0.052576,67.0,0.049,16.18,13.5527
25.75,0.03477,5.42e-05,0.4453,19.44703535,5.075,0.0353,0.3725,0.9517,14.6,23.48,9.68502,11.28,0.254,40.5955,6.1625,0.2332,7.961,46.8,33.51,49.713,60.1,0.04332,82.15,59.6921,0.49396,0.05019,3.396,0.050774,63.7,0.0473,15.33,12.8394
26.25,0.03382,5.23e-05,0.4237,18.49120004,4.83,0.03493,0.3533,0.9006,13.9,22.39,9.13384,10.69,0.241,38.599,5.8667,0.2227,7.589,43.8,31.79,47.3295,57.2152,0.04213,78.08,56.9619,0.46833,0.04851,3.214,0.049078,60.6,0.0458,14.57,12.19743
26.75,0.03306,5.06e-05,0.4022,17.63812156,4.585,0.03456,0.336,0.8541,13.2,21.31,8.6614,10.15,0.23,36.7356,5.5709,0.2123,7.165,41.1,30.25,45.173,54.5708,0.04106,74.43,54.2317,0.44503,0.04704,3.051,0.047594,57.7,0.0443,13.85,11.55546
27.25,0.03221,4.9e-05,0.3833,16.78504308,4.375,0.03437,0.3206,0.8107,12.5,20.31,8.2677,9.624,0.22,35.0053,5.3244,0.2018,6.8,38.5,28.88,43.0165,52.0466,0.0401,71.0,51.7497,0.42406,0.04557,2.892,0.04611,55.0,0.043,13.18,10.98482
27.75,0.03154,4.76e-05,0.3644,15.93196461,4.165,0.034,0.3053,0.7704,11.8,19.31,7.826756,9.151,0.211,33.4081,5.0779,0.1931,6.465,36.2,27.51,41.087,49.7628,0.03915,67.78,49.3918,0.40309,0.04421,2.747,0.044732,52.5,0.0418,12.56,10.41418
28.25,0.03088,4.63e-05,0.3482,15.23275919,3.955,0.03382,0.2918,0.7316,11.3,18.49,7.448804,8.738,0.201,31.944,4.83633,0.1844,6.145,34.0,26.22,39.271,47.5992,0.03832,64.78,47.158,0.38445,0.04295,2.611,0.04346,50.2,0.0406,11.98,9.91487
28.75,0.03021,4.5e-05,0.332,14.56146062,3.78,0.03363,0.2784,0.696,10.8,17.68,7.0866,8.325,0.193,30.4799,4.61941,0.1757,5.848,32.1,25.02,37.5685,45.4356,0.03749,61.78,45.1724,0.36581,0.04179,2.488,0.042294,47.9,0.0395,11.4,9.48689
29.25,0.02964,4.37e-05,0.3185,13.89016206,3.64,0.03326,0.2669,0.6634,10.2,16.86,6.755892,7.911,0.185,29.1489,4.41235,0.1688,5.573,30.4,23.91,35.9795,43.5124,0.03677,59.2,43.1868,0.3495,0.04074,2.37,0.041234,45.7,0.0385,10.9,8.98758
29.75,0.02907,4.27e-05,0.305,13.21886349,3.465,0.03308,0.2554,0.6324,9.77,16.14,6.440932,7.557,0.178,27.951,4.22008,0.1618,5.312,28.7,22.88,34.3905,41.5892,0.03606,56.63,41.3253,0.33552,0.03969,2.256,0.040174,43.8,0.0376,10.41,8.63093
30.25,0.0286,4.16e-05,0.2915,12.69339389,3.3145,0.03289,0.2458,0.603,9.32,15.41,6.14172,7.203,0.171,26.7531,4.03767,0.1554,5.067,27.3,21.85,32.915,39.9064,0.03546,54.27,39.5879,0.31921,0.03875,2.152,0.03922,42.1,0.0367,9.966,8.20295
30.75,0.02812,4.06e-05,0.2807,12.17214057,3.1745,0.03271,0.2342,0.5766,8.92,14.78,5.86613,6.908,0.165,25.5552,3.86512,0.1495,4.843,26.0,20.91,31.553,38.2236,0.03475,51.91,37.9746,0.30756,0.03791,2.057,0.038266,40.1,0.0358,9.519,7.8463
31.25,0.02765,3.96e-05,0.2688,11.65088724,3.0415,0.03252,0.2266,0.5503,8.52,14.14,5.606288,6.612,0.159,24.4904,3.70736,0.1437,4.628,24.7,20.05,30.3045,36.661,0.03427,49.76,36.3613,0.29358,0.03707,1.966,0.037418,38.6,0.0351,9.117,7.48965
31.75,0.02727,3.88e-05,0.2586,11.12963392,2.9155,0.03234,0.217,0.527,8.15,13.6,5.362194,6.317,0.153,23.5587,3.55453,0.1385,4.427,23.6,19.2,29.056,35.2186,0.03368,47.83,34.8721,0.28193,0.03623,1.88,0.036676,37.1,0.0343,8.759,7.20433
32.25,0.02679,3.8e-05,0.2486,10.70494768,2.8,0.03216,0.2093,0.5038,7.8,13.06,5.133848,6.022,0.148,22.627,3.41156,0.1335,4.233,22.6,18.43,27.921,33.7762,0.0332,45.9,33.507,0.27028,0.03549,1.798,0.035934,35.5,0.0336,8.402,6.876212
