energy,Adipose,Air,Al,Au,Ba,Be,Bone,Ca,Cu,Er,Fe,Ga,Glass,Hf,I,Mg,Mn,Mo,Nb,Pb,Pd,Pmm,Pt,Rh,Si,Skeletal,Ti,Tiss,W,Wat,Y,Zn
57.75,0.019,2.3e-05,0.07854,2.334788736,3.2585,0.02772,0.06355,0.1102,1.56,13.42,1.039368,1.21,0.056,4.96463,4.0919,0.04663,0.863,4.79,3.788,6.2198,7.11584,0.02321,10.15,6.99924,0.078754,0.02184,0.3777,0.022048,7.82,0.0209,1.712,1.376669
58.25,0.01891,2.29e-05,0.07773,2.278004374,3.185,0.02772,0.06278,0.108,1.52,13.15,1.015746,1.181,0.0553,4.85815,3.99823,0.04611,0.8407,4.68,3.702,6.0836,6.94756,0.02309,9.931,6.83791,0.077822,0.02174,0.37,0.021942,7.64,0.0208,1.671,1.341004
58.75,0.01891,2.28e-05,0.07665,2.230358756,3.115,0.02772,0.06202,0.106,1.5,12.87,0.992124,1.151,0.0549,4.75167,3.90949,0.04559,0.8258,4.57,3.617,5.9474,6.7913,0.02309,9.717,6.68899,0.076657,0.02163,0.3623,0.021942,7.49,0.0208,1.636,1.312472
59.25,0.01881,2.27e-05,0.07584,2.182713137,3.045,0.02772,0.06125,0.104,1.46,12.6,0.968502,1.128,0.0544,4.64519,3.82075,0.04524,0.8035,4.47,3.539,5.82255,6.63504,0.02297,9.502,6.54007,0.075725,0.02163,0.355,0.021836,7.32,0.0207,1.595,1.28394
59.75,0.01872,2.25e-05,0.07503,2.135067519,2.9785,0.02754,0.06048,0.102,1.43,12.33,0.94488,1.104,0.054,4.55202,3.73694,0.04472,0.7886,4.36,3.454,5.6977,6.4908,0.02285,9.309,6.39115,0.074793,0.02153,0.3478,0.02173,7.16,0.0206,1.56,1.255408
60.25,0.01872,2.25e-05,0.07422,2.090322542,2.912,0.02754,0.05971,0.1001,1.4,12.06,0.929132,1.08,0.0535,4.45885,3.65313,0.0442,0.7738,4.27,3.377,5.57285,6.34656,0.02285,9.116,6.24223,0.073861,0.02142,0.341,0.021624,7.01,0.0205,1.524,1.226876
60.75,0.01862,2.24e-05,0.07341,2.046354672,2.849,0.02754,0.05894,0.09827,1.36,11.88,0.90551,1.057,0.0531,4.36568,3.57425,0.04385,0.7589,4.18,3.299,5.45935,6.20232,0.02273,8.923,6.10572,0.072929,0.02132,0.3341,0.021518,6.87,0.0204,1.493,1.198344
61.25,0.01862,2.23e-05,0.0726,6.54545842,2.7895,0.02735,0.05837,0.09641,1.34,11.6,0.889762,1.033,0.0526,4.27251,3.49537,0.0435,0.7403,4.09,3.231,5.34585,6.0701,0.02273,8.73,5.96921,0.071997,0.02121,0.3278,0.021412,6.72,0.0204,1.457,1.176945
61.75,0.01853,2.23e-05,0.07179,9.156874665,2.73,0.02735,0.0576,0.09471,1.31,11.33,0.874014,1.01,0.0522,4.17934,3.42142,0.04298,0.7254,4.0,3.162,5.23235,5.93788,0.02261,8.559,5.84511,0.071065,0.02121,0.3214,0.021412,6.58,0.0203,1.426,1.148413
62.25,0.01853,2.22e-05,0.07098,8.973618882,2.674,0.02735,0.05702,0.093,1.28,11.15,0.850392,0.986,0.0517,4.09948,3.34747,0.04263,0.7105,3.9,3.094,5.1302,5.80566,0.02261,8.387,5.72101,0.070366,0.02111,0.3155,0.021306,6.45,0.0202,1.394,1.127014
62.75,0.01843,2.21e-05,0.07044,8.810125412,2.618,0.02735,0.05645,0.09145,1.25,10.88,0.834644,0.9683,0.0513,4.01962,3.27845,0.04228,0.6964,3.82,3.025,5.02805,5.68546,0.02249,8.215,5.59691,0.069434,0.021,0.3096,0.0212,6.33,0.0201,1.368,1.105615
63.25,0.01843,2.19e-05,0.06963,8.649291752,2.562,0.02717,0.05587,0.0899,1.23,10.7,0.818896,0.9446,0.0508,3.93976,3.20943,0.04193,0.683,3.74,2.957,4.9259,5.56526,0.02249,8.044,5.47281,0.068735,0.021,0.3037,0.0212,6.2,0.0201,1.336,1.077083
63.75,0.01834,2.19e-05,0.06882,8.488458092,2.5095,0.02717,0.0553,0.08835,1.2,10.52,0.803148,0.9269,0.0504,3.8599,3.14041,0.04159,0.6696,3.66,2.897,4.82375,5.44506,0.02237,7.894,5.36112,0.068036,0.0209,0.2983,0.021094,6.08,0.02,1.309,1.055684
64.25,0.01834,2.18e-05,0.06828,8.327624431,2.457,0.02717,0.05472,0.0868,1.18,10.24,0.7874,0.9092,0.0502,3.78004,3.07632,0.04124,0.657,3.59,2.837,4.73295,5.33688,0.02237,7.722,5.24943,0.067104,0.02079,0.2928,0.020988,5.96,0.0199,1.283,1.034285
64.75,0.01824,2.18e-05,0.06774,8.166790771,2.408,0.02717,0.05414,0.08541,1.16,10.06,0.773227,0.8915,0.0497,3.71349,3.01716,0.04089,0.6443,3.52,2.777,4.64215,5.21668,0.02225,7.572,5.13774,0.066405,0.02079,0.2878,0.020988,5.85,0.0199,1.256,1.012886
65.25,0.01824,2.17e-05,0.06694,8.005957111,2.359,0.02698,0.05357,0.08401,1.13,9.882,0.758266,0.8738,0.0495,16.3713,2.95307,0.04054,0.6317,3.44,2.717,4.55135,5.12052,0.02225,7.443,5.03846,0.065706,0.02069,0.2828,0.020882,5.73,0.0198,1.229,0.991487
65.75,0.01815,2.16e-05,0.0664,7.845123451,2.3135,0.02698,0.05299,0.08262,1.11,9.701,0.744093,0.8561,0.0491,16.1051,2.89391,0.04019,0.6205,3.37,2.665,4.46055,5.01234,0.02213,7.293,4.92677,0.065007,0.02058,0.2778,0.020776,5.62,0.0197,1.202,0.977221
66.25,0.01815,2.16e-05,0.06586,7.684289791,2.2645,0.02698,0.05261,0.08138,1.08,9.519,0.72992,0.8384,0.0488,15.7058,2.83475,0.04002,0.6086,3.3,2.614,4.3811,4.90416,0.02213,7.143,4.82749,0.064541,0.02058,0.2729,0.020776,5.52,0.0197,1.18,0.955822
66.75,0.01805,2.15e-05,0.06532,7.533336479,2.2225,0.02698,0.05203,0.07998,1.07,9.338,0.716534,0.8207,0.0484,15.4396,2.78052,0.03967,0.5974,3.23,2.562,4.2903,4.808,0.02202,7.014,4.72821,0.063842,0.02048,0.2683,0.02067,5.4,0.0196,1.157,0.934423
67.25,0.01805,2.15e-05,0.06478,7.404005013,2.177,0.02698,0.05165,0.07874,1.05,9.157,0.703148,0.8029,0.0482,15.1734,2.72629,0.03932,0.587,3.17,2.511,4.21085,4.71184,0.02202,6.885,4.64134,0.063143,0.02037,0.2638,0.020564,5.31,0.0196,1.131,0.920157
67.75,0.01796,2.13e-05,0.06424,7.274673547,2.135,0.0268,0.05107,0.07766,1.03,8.984,0.69055,0.7911,0.0477,14.9072,2.67206,0.03915,0.5766,3.11,2.46,4.1314,4.61568,0.0219,6.757,4.54206,0.062677,0.02037,0.2597,0.020564,5.21,0.0195,1.108,0.898758
68.25,0.01796,2.13e-05,0.0637,7.145342082,2.093,0.0268,0.05069,0.07642,1.0,8.812,0.677951,0.7734,0.0475,14.641,2.61783,0.0388,0.5662,3.05,2.408,4.0633,4.53154,0.0219,6.628,4.45519,0.061978,0.02027,0.2556,0.020458,5.12,0.0194,1.086,0.884492
68.75,0.01786,2.12e-05,0.06316,7.016010616,2.0545,0.0268,0.05011,0.07533,0.986,8.649,0.66614,0.7616,0.0473,14.2417,2.56853,0.03845,0.5565,2.98,2.365,3.98385,4.4474,0.02178,6.521,4.36832,0.061512,0.02027,0.2511,0.020458,5.02,0.0194,1.068,0.870226
69.25,0.01786,2.11e-05,0.06262,6.88667915,2.016,0.0268,0.04973,0.07425,0.968,8.486,0.654329,0.7439,0.0468,14.1086,2.51923,0.03828,0.5468,2.93,2.314,3.91575,4.35124,0.02178,6.392,4.28145,0.060813,0.02016,0.2474,0.020352,4.92,0.0193,1.046,0.848827
69.75,0.01777,2.11e-05,0.06208,6.757347684,1.9775,0.02661,0.04934,0.07316,0.95,8.332,0.642518,0.7321,0.0466,13.8424,2.47486,0.03793,0.5372,2.87,2.271,3.8363,4.2671,0.02166,6.285,4.20699,0.060347,0.02016,0.2433,0.020352,21.2,0.0193,1.028,0.834561
70.25,0.01777,2.1e-05,0.06154,6.628016218,1.939,0.02661,0.04896,0.07208,0.941,8.178,0.631495,0.7203,0.0464,13.5762,2.42556,0.03776,0.5282,2.82,2.228,3.7682,4.19498,0.02166,6.178,4.12012,0.059881,0.02006,0.2397,0.020246,20.8,0.0192,1.006,0.820295
70.75,0.01777,2.1e-05,0.06127,6.498684753,1.904,0.02661,0.04858,0.07099,0.923,8.032,0.621259,0.7085,0.0462,13.29669,2.38119,0.03758,0.5193,2.76,2.185,3.71145,4.11084,0.02166,6.049,4.04566,0.059415,0.02006,0.2361,0.020246,20.5,0.0192,0.9876,0.806029
71.25,0.01767,2.09e-05,0.06073,6.371792586,1.869,0.02661,0.04819,0.07006,0.905,7.878,0.610235,0.6908,0.0457,13.05711,2.33682,0.03724,0.5111,2.71,2.143,3.64335,4.03872,0.02154,5.942,3.9712,0.058716,0.01995,0.2324,0.02014,20.1,0.0191,0.9698,0.791763
71.75,0.01767,2.09e-05,0.06019,6.269783021,1.834,0.02643,0.04781,0.06913,0.888,7.742,0.599999,0.679,0.0455,12.81753,2.29245,0.03706,0.5029,2.66,2.108,3.57525,3.95458,0.02154,5.856,3.89674,0.05825,0.01985,0.2288,0.02014,19.9,0.0191,0.9519,0.777497
72.25,0.01758,2.09e-05,0.05992,6.167773456,1.8025,0.02643,0.04742,0.0682,0.872,7.597,0.59055,0.6672,0.0453,12.59126,2.25301,0.03689,0.4948,2.62,2.065,3.5185,3.88246,0.02142,5.749,3.82228,0.057784,0.01985,0.2256,0.020034,19.5,0.019,0.934,0.763231
72.75,0.01758,2.07e-05,0.05938,6.065763891,1.7675,0.02643,0.04704,0.06727,0.858,7.47,0.580314,0.6553,0.0451,12.3783,2.20864,0.03654,0.4866,2.57,2.031,3.4504,3.81034,0.02142,5.641,3.74782,0.057318,0.01974,0.222,0.020034,19.1,0.019,0.9161,0.748965
73.25,0.01758,2.07e-05,0.05911,5.963754326,1.736,0.02643,0.04666,0.06634,0.842,7.334,0.570865,0.6435,0.0448,12.16534,2.1692,0.03637,0.4791,2.51,1.988,3.39365,3.73822,0.02142,5.556,3.68577,0.056852,0.01974,0.2188,0.019928,18.8,0.0189,0.8983,0.734699
73.75,0.01748,2.06e-05,0.05857,5.86174476,1.7045,0.02643,0.04627,0.06557,0.829,7.207,0.562204,0.6317,0.0446,11.95238,2.12976,0.03619,0.4717,2.47,1.954,3.3369,3.67812,0.0213,5.448,3.62372,0.056386,0.01974,0.2157,0.019928,18.4,0.0189,0.8849,0.727566
74.25,0.01748,2.06e-05,0.0583,5.759735195,1.6765,0.02624,0.04608,0.06464,0.815,7.081,0.552755,0.6258,0.0444,11.73942,2.09525,0.03602,0.4643,2.43,1.92,3.28015,3.606,0.0213,5.363,3.54926,0.056153,0.01964,0.2129,0.019822,18.1,0.0188,0.867,0.712587
74.75,0.01748,2.05e-05,0.05776,5.65772563,1.645,0.02624,0.0457,0.06386,0.801,6.954,0.544093,0.614,0.0442,11.53977,2.05581,0.03567,0.4568,2.38,1.885,3.2234,3.5459,0.0213,5.277,3.48721,0.055687,0.01964,0.2097,0.019822,17.8,0.0188,0.8536,0.701174
75.25,0.01739,2.05e-05,0.05749,5.555716065,1.617,0.02624,0.04531,0.06309,0.788,6.836,0.536219,0.6022,0.0439,11.35343,2.0213,0.0355,0.4501,2.34,1.851,3.178,3.4858,0.02118,5.191,3.42516,0.055221,0.01953,0.207,0.019716,17.5,0.0187,0.8357,0.689048
75.75,0.01739,2.04e-05,0.05722,5.4537065,1.589,0.02624,0.04512,0.06231,0.775,6.718,0.527558,0.5904,0.0437,11.15378,1.98679,0.03532,0.4434,2.3,1.817,3.12125,3.4257,0.02118,5.105,3.36311,0.054755,0.01953,0.2043,0.019716,17.2,0.0187,0.8223,0.677635
76.25,0.01729,2.04e-05,0.05668,5.356568751,1.561,0.02624,0.04474,0.06154,0.763,6.6,0.519684,0.5827,0.0435,10.96744,1.95228,0.03515,0.4367,2.26,1.791,3.07585,3.3656,0.02118,5.019,3.31347,0.054522,0.01943,0.2016,0.01961,16.9,0.0187,0.8089,0.666936
76.75,0.01729,2.04e-05,0.05641,5.275885643,1.5365,0.02606,0.04454,0.06076,0.751,6.491,0.51181,0.5733,0.0433,10.79441,1.91777,0.03497,0.43,2.22,1.757,3.0191,3.3055,0.02106,4.934,3.25142,0.054056,0.01943,0.1989,0.01961,16.6,0.0186,0.7955,0.656236
77.25,0.01729,2.02e-05,0.05614,5.195202536,1.5085,0.02606,0.04416,0.05999,0.738,6.382,0.503936,0.5638,0.043,10.60807,1.88326,0.0348,0.4241,2.19,1.731,2.9737,3.2454,0.02106,4.869,3.18937,0.05359,0.01932,0.1961,0.019504,16.4,0.0186,0.7821,0.645537
77.75,0.0172,2.02e-05,0.0556,5.114519428,1.484,0.02606,0.04397,0.05937,0.728,6.274,0.496849,0.555,0.0428,10.43504,1.85368,0.03463,0.4174,2.15,1.697,2.9283,3.1853,0.02094,4.783,3.13973,0.053357,0.01932,0.1934,0.019504,16.1,0.0185,0.7687,0.63555
78.25,0.0172,2.01e-05,0.05533,5.033836321,1.4595,0.02606,0.04358,0.05859,0.716,6.174,0.489763,0.5461,0.0426,10.27532,1.81917,0.03445,0.4114,2.11,1.671,2.8829,3.13722,0.02094,20.03,3.09009,0.052891,0.01932,0.1911,0.019504,15.8,0.0185,0.7553,0.625564
78.75,0.0172,2.01e-05,0.05506,4.953153213,1.435,0.02587,0.04339,0.05797,0.705,6.074,0.482676,0.5373,0.0426,10.10229,1.78959,0.03428,0.4062,2.08,1.645,2.8375,3.08914,0.02094,19.58,3.04045,0.052658,0.01922,0.1889,0.019398,15.6,0.0184,0.7419,0.615578
79.25,0.0171,2.01e-05,0.05479,4.872470106,1.4105,0.02587,0.04301,0.05735,0.694,5.974,0.47559,0.529,0.0424,9.94257,1.76001,0.0341,0.4003,2.04,1.611,2.7921,3.02904,0.02083,19.13,2.9784,0.052192,0.01922,0.1861,0.019398,15.3,0.0184,0.7284,0.606305
79.75,0.0171,2e-05,0.05452,4.791786998,1.386,0.02587,0.04282,0.05673,0.684,5.875,0.468503,0.5207,0.0422,9.78285,1.73043,0.03393,0.3951,2.0,1.585,2.7467,2.98096,0.02083,18.73,2.92876,0.051959,0.01911,0.1839,0.019292,15.1,0.0184,0.7195,0.596319
80.25,0.0171,2e-05,0.05425,4.711103891,1.365,0.02587,0.04262,0.05611,0.674,5.775,0.462204,0.5131,0.0419,9.62313,1.70085,0.03376,0.3891,1.97,1.56,2.7013,2.93288,0.02083,18.34,2.89153,0.051493,0.01911,0.1816,0.019292,14.8,0.0183,0.7061,0.587759
80.75,0.01701,2e-05,0.05398,4.630420784,1.3405,0.02587,0.04224,0.05549,0.663,5.684,0.455905,0.5048,0.0417,9.47672,1.6762,0.03358,0.3839,1.94,1.534,2.66725,2.8848,0.02071,17.98,2.84189,0.05126,0.01901,0.1793,0.019292,14.6,0.0183,0.6972,0.578486
81.25,0.01701,1.99e-05,0.05371,4.549737676,1.3195,0.02569,0.04205,0.05487,0.654,5.594,0.449605,0.4971,0.0417,9.33031,1.64662,0.03341,0.3787,1.91,1.508,2.62185,2.83672,0.02071,17.61,2.79225,0.051027,0.01901,0.1775,0.019186,14.4,0.0182,0.6838,0.569927
81.75,0.01701,1.99e-05,0.05317,4.480213618,1.2985,0.02569,0.04186,0.05425,0.644,5.503,0.443306,0.49,0.0415,9.1839,1.62197,0.03341,0.3742,1.88,1.483,2.57645,2.78864,0.02071,17.27,2.74261,0.050561,0.01901,0.1752,0.019186,14.2,0.0182,0.6748,0.561367
82.25,0.01691,1.98e-05,0.0529,4.415768941,1.2775,0.02569,0.04166,0.05363,0.635,5.421,0.437007,0.4824,0.0413,9.03749,1.59239,0.03323,0.369,1.85,1.465,2.5424,2.74056,0.02071,16.95,2.70538,0.050328,0.0189,0.1734,0.01908,13.9,0.0182,0.6614,0.553521
82.75,0.01691,1.98e-05,0.05263,4.351324264,1.2565,0.02569,0.04128,0.05317,0.625,5.34,0.431495,0.4753,0.041,8.90439,1.56774,0.03306,0.3638,1.82,1.44,2.50835,2.7045,0.02059,16.65,2.65574,0.050095,0.0189,0.1712,0.01908,13.7,0.0181,0.6525,0.545675
83.25,0.01691,1.98e-05,0.05236,4.286879586,1.239,0.02569,0.04109,0.05255,0.617,5.249,0.425983,0.4688,0.041,8.77129,1.54309,0.03289,0.3594,1.79,1.414,2.46295,2.65642,0.02059,16.37,2.61851,0.049862,0.0189,0.1693,0.01908,13.5,0.0181,0.6435,0.537828
83.75,0.01682,1.96e-05,0.05236,4.222434909,1.218,0.0255,0.0409,0.05208,0.608,5.168,0.419684,0.4617,0.0408,8.63819,1.51844,0.03271,0.3549,1.76,1.397,2.4289,2.62036,0.02059,16.09,2.58128,0.049396,0.0188,0.1675,0.018974,13.3,0.0181,0.6301,0.529982
84.25,0.01682,1.96e-05,0.05209,4.157990232,1.2005,0.0255,0.0407,0.05146,0.599,5.095,0.41496,0.4552,0.0406,8.50509,1.49379,0.03254,0.3504,1.74,1.371,2.39485,2.57228,0.02047,15.81,2.53164,0.049163,0.0188,0.1653,0.018974,13.1,0.018,0.6212,0.522136
84.75,0.01682,1.96e-05,0.05182,4.093545555,1.1795,0.0255,0.04051,0.051,0.591,5.013,0.409448,0.4487,0.0406,8.37199,1.47407,0.03254,0.346,1.71,1.354,2.3608,2.53622,0.02047,15.55,2.49441,0.04893,0.0188,0.1634,0.018974,12.9,0.018,0.6123,0.515003
85.25,0.01682,1.95e-05,0.05155,4.029100878,1.162,0.0255,0.04032,0.05053,0.583,4.941,0.403936,0.4422,0.0404,8.2522,1.44942,0.03236,0.3415,1.69,1.328,2.32675,2.50016,0.02047,15.32,2.45718,0.048697,0.01869,0.1621,0.018868,12.7,0.018,0.6033,0.50787
85.75,0.01672,1.95e-05,0.05128,3.964656201,1.1445,0.0255,0.04013,0.05007,0.575,4.868,0.399212,0.4363,0.0401,8.13241,1.42477,0.03219,0.3378,1.66,1.311,2.2927,2.4641,0.02035,15.08,2.41995,0.048464,0.01869,0.1603,0.018868,12.6,0.0179,0.5944,0.500737
86.25,0.01672,1.95e-05,0.05101,3.900211524,1.127,0.0255,0.03994,0.0496,0.568,4.787,0.3937,0.4298,0.0401,8.01262,1.40505,0.03202,0.3333,1.64,1.294,2.25865,2.41602,0.02035,14.86,2.38272,0.048231,0.01859,0.1584,0.018762,12.4,0.0179,0.5854,0.493604
86.75,0.01672,1.94e-05,0.05074,3.835766846,1.1095,0.02532,0.03974,0.04914,0.56,4.723,0.388976,0.4239,0.0399,7.89283,1.38533,0.03202,0.3296,1.61,1.268,2.2246,2.37996,0.02035,14.65,2.34549,0.047998,0.01859,0.1566,0.018762,12.2,0.0179,0.5765,0.487184
87.25,0.01663,1.94e-05,0.05047,3.777198891,1.092,0.02532,0.03955,0.04867,0.553,4.651,0.384251,0.418,0.0397,7.77304,1.36068,0.03184,0.3259,1.58,1.251,2.2019,2.3439,0.02035,14.44,2.30826,0.047765,0.01859,0.1553,0.018762,12.0,0.0178,0.5676,0.480764
87.75,0.01663,1.94e-05,0.0502,3.726792536,1.078,0.02532,0.03936,0.04821,0.546,4.578,0.379527,0.4127,0.0397,7.66656,1.34096,0.03167,0.3222,1.55,1.234,2.16785,2.30784,0.02023,14.22,2.28344,0.047299,0.01848,0.1535,0.018656,11.8,0.0178,0.5586,0.474345
88.25,0.01663,1.93e-05,0.0502,3.67638618,1.0605,0.02532,0.03917,0.04774,0.539,4.515,0.374802,0.4068,0.0395,7.56008,1.32124,0.03167,0.3177,1.53,1.217,8.59195,2.2838,0.02023,14.03,2.24621,0.047066,0.01848,0.1521,0.018656,11.7,0.0178,0.5497,0.467925
88.75,0.01663,1.93e-05,0.04993,3.625979825,1.0465,0.02532,0.03898,0.04728,0.531,4.451,0.370865,0.4015,0.0395,7.4536,1.30152,0.03149,0.3147,1.51,1.2,8.47845,2.24774,0.02023,13.86,2.20898,0.046833,0.01848,0.1503,0.018656,11.5,0.0177,0.5452,0.461505
89.25,0.01653,1.93e-05,0.04966,3.575573469,1.029,0.02513,0.03878,0.04697,0.525,4.388,0.366141,0.3962,0.0393,7.34712,1.2818,0.03132,0.311,1.49,1.183,8.3536,2.21168,0.02011,13.66,2.18416,0.046833,0.01838,0.1489,0.01855,11.3,0.0177,0.5363,0.455799
89.75,0.01653,1.93e-05,0.04939,3.525167114,1.015,0.02513,0.03859,0.0465,0.518,4.324,0.362204,0.3908,0.0393,7.24064,1.26701,0.03132,0.3073,1.47,1.166,8.2401,2.17562,0.02011,13.49,2.14693,0.0466,0.01838,0.1476,0.01855,11.2,0.0177,0.5273,0.450092
90.25,0.01653,1.92e-05,0.04939,3.474760758,1.001,0.02513,0.0384,0.04619,0.512,4.261,0.35748,0.3861,0.039,7.13416,1.24729,0.03115,0.3036,1.45,1.148,8.11525,2.15158,0.02011,13.32,2.1097,0.046367,0.01838,0.1462,0.01855,11.0,0.0176,0.5229,0.444386
90.75,0.01644,1.92e-05,0.04912,3.424354402,0.987,0.02513,0.03821,0.04573,0.505,4.198,0.353543,0.3808,0.0388,7.04099,1.22757,0.03097,0.3006,1.43,1.131,8.00175,2.11552,0.02011,13.15,2.08488,0.046134,0.01838,0.1444,0.01855,10.9,0.0176,0.5139,0.43868
91.25,0.01644,1.92e-05,0.04885,3.373948047,0.973,0.02513,0.03802,0.04542,0.499,4.143,0.349606,0.3761,0.0388,6.93451,1.21278,0.03097,0.2969,1.41,1.114,7.8996,2.09148,0.01999,13.0,2.06006,0.045901,0.01827,0.143,0.018444,10.7,0.0176,0.505,0.432973
91.75,0.01644,1.9e-05,0.04858,3.323541691,0.959,0.02513,0.03782,0.04495,0.493,4.08,0.345669,0.3714,0.0386,6.84134,1.19306,0.0308,0.2939,1.39,1.097,7.7861,2.05542,0.01999,12.83,2.02283,0.045668,0.01827,0.1416,0.018444,10.6,0.0175,0.5005,0.42798
92.25,0.01644,1.9e-05,0.04858,3.273135336,0.945,0.02495,0.03782,0.04464,0.487,4.025,0.341732,0.3666,0.0386,6.74817,1.17827,0.0308,0.2909,1.37,1.088,7.68395,2.03138,0.01999,12.68,1.99801,0.045435,0.01827,0.1403,0.018444,10.4,0.0175,0.4916,0.422274
92.75,0.01634,1.9e-05,0.04831,3.22272898,0.931,0.02495,0.03763,0.04418,0.481,3.971,0.337795,0.3619,0.0384,6.655,1.15855,0.03062,0.2879,1.35,1.071,7.57045,1.99532,0.01999,12.53,1.97319,0.045202,0.01817,0.1394,0.018338,10.3,0.0175,0.4871,0.417281
93.25,0.01634,1.9e-05,0.04804,3.176415932,0.917,0.02495,0.03744,0.04387,0.476,3.917,0.334645,0.3578,0.0384,6.56183,1.14376,0.03045,0.285,1.33,1.054,7.4683,1.97128,0.01987,12.4,1.93596,0.044969,0.01817,0.138,0.018338,10.2,0.0174,0.4782,0.412287
93.75,0.01634,1.89e-05,0.04804,3.136997731,0.903,0.02495,0.03725,0.04356,0.47,3.862,0.330708,0.3531,0.0381,6.48197,1.12897,0.03045,0.282,1.31,1.037,7.36615,1.94724,0.01987,12.25,1.91114,0.044736,0.01817,0.1367,0.018338,10.0,0.0174,0.4737,0.407294
94.25,0.01634,1.89e-05,0.04777,3.09757953,0.8925,0.02495,0.03706,0.04325,0.464,3.808,0.327558,0.3489,0.0381,6.3888,1.10925,0.03028,0.279,1.3,1.028,7.27535,1.9232,0.01987,12.1,1.88632,0.044736,0.01806,0.1353,0.018232,9.88,0.0174,0.4648,0.402301
94.75,0.01625,1.89e-05,0.0475,3.058161329,0.8785,0.02476,0.03706,0.04294,0.459,3.753,0.323621,0.3448,0.0379,6.30894,1.09446,0.03028,0.276,1.28,1.011,7.1732,1.88714,0.01987,11.97,1.8615,0.044503,0.01806,0.1344,0.018232,9.75,0.0174,0.4603,0.397308
95.25,0.01625,1.88e-05,0.0475,3.018743128,0.868,0.02476,0.03686,0.04247,0.453,3.708,0.320472,0.3407,0.0379,6.21577,1.07967,0.0301,0.273,1.26,1.003,7.0824,1.8631,0.01975,11.84,1.83668,0.04427,0.01806,0.133,0.018232,9.61,0.0173,0.4558,0.393028
95.75,0.01625,1.88e-05,0.04723,2.979324927,0.854,0.02476,0.03667,0.04216,0.449,3.654,0.317322,0.3365,0.0377,6.13591,1.06488,0.0301,0.2708,1.25,0.9856,6.9916,1.83906,0.01975,11.71,1.81186,0.044037,0.01806,0.1321,0.018232,9.5,0.0173,0.4469,0.388035
96.25,0.01625,1.88e-05,0.04696,2.939906726,0.8435,0.02476,0.03648,0.04185,0.444,3.608,0.314173,0.3324,0.0377,6.05605,1.05009,0.02993,0.2678,1.23,0.9684,6.88945,1.81502,0.01975,11.56,1.78704,0.044037,0.01796,0.1308,0.018126,9.38,0.0173,0.442,0.383755
96.75,0.01615,1.88e-05,0.04696,2.900488525,0.833,0.02476,0.03648,0.04154,0.439,3.563,0.311023,0.3289,0.0375,5.97619,1.0353,0.02993,0.2649,1.21,0.9598,6.81,1.79098,0.01975,11.45,1.76222,0.043804,0.01796,0.1298,0.018126,9.25,0.0172,0.4366,0.379476
97.25,0.01615,1.87e-05,0.04669,2.861070324,0.8225,0.02476,0.03629,0.04123,0.434,3.509,0.307873,0.3247,0.0375,5.89633,1.02544,0.02975,0.2626,1.2,0.9513,6.7192,1.76694,0.01964,11.33,1.7374,0.043571,0.01796,0.1285,0.018126,9.13,0.0172,0.4308,0.375196
97.75,0.01615,1.87e-05,0.04669,2.821652123,0.812,0.02458,0.0361,0.04092,0.429,3.463,0.304724,0.3212,0.0372,5.81647,1.01065,0.02975,0.2604,1.18,0.9341,6.6284,1.7429,0.01964,11.2,1.71258,0.043338,0.01785,0.1276,0.01802,9.01,0.0172,0.4254,0.370916
98.25,0.01615,1.87e-05,0.04642,2.782233922,0.798,0.02458,0.0361,0.04077,0.425,3.418,0.301574,0.3176,0.0372,5.74992,0.99586,0.02958,0.2574,1.17,0.9256,6.54895,1.71886,0.01964,11.07,1.70017,0.043338,0.01785,0.1267,0.01802,8.9,0.0172,0.4201,0.366636
98.75,0.01606,1.87e-05,0.04642,2.742815721,0.7875,0.02458,0.0359,0.04046,0.419,3.373,0.298425,0.3141,0.0372,5.67006,0.98107,0.02958,0.2552,1.15,0.9084,6.45815,1.69482,0.01964,10.94,1.67535,0.043105,0.01785,0.1253,0.01802,8.78,0.0171,0.4147,0.362356
99.25,0.01606,1.86e-05,0.04615,2.70339752,0.777,0.02458,0.03571,0.04015,0.415,3.336,0.295275,0.3106,0.037,5.60351,0.97121,0.02941,0.253,1.13,0.8999,6.3787,1.67078,0.01952,10.83,1.65053,0.042872,0.01785,0.1244,0.01802,8.67,0.0171,0.4094,0.35879
99.75,0.01606,1.86e-05,0.04588,2.668228778,0.77,0.02458,0.03571,0.03984,0.41,3.291,0.292913,0.307,0.037,5.52365,0.95642,0.02941,0.2507,1.12,0.8913,6.29925,1.65876,0.01952,10.7,1.62571,0.042872,0.01775,0.1235,0.017914,8.57,0.0171,0.4044,0.35451
100.25,0.01606,1.86e-05,0.04588,2.637391531,0.7595,0.02458,0.03552,0.03953,0.407,3.246,0.289763,0.3035,0.0368,5.4571,0.94656,0.02923,0.2485,1.1,0.8741,6.2198,1.63472,0.01952,10.6,1.6133,0.042639,0.01775,0.1226,0.017914,8.45,0.017,0.3995,0.350944
100.75,0.01596,1.86e-05,0.04561,2.606554283,0.749,0.02439,0.03533,0.03937,0.402,3.209,0.287401,0.2999,0.0368,5.39055,0.93177,0.02923,0.2463,1.09,0.8656,6.14035,1.61068,0.01952,10.47,1.58848,0.042406,0.01775,0.1217,0.017914,8.36,0.017,0.3946,0.347377
