energy,Al,Cu,Mo,Rh,Ag,Ti,Sn,PC,GT
42.75,0.133,3.617,11.089,16.013,15.113,0.837,11.571,0.026,0.022
43.25,0.130,3.501,10.744,15.516,14.649,0.811,11.222,0.026,0.022
43.75,0.127,3.390,10.412,15.045,14.202,0.786,10.867,0.026,0.022
44.25,0.125,3.284,10.092,14.593,13.775,0.762,10.544,0.025,0.022
44.75,0.122,3.183,9.785,14.151,13.365,0.740,10.249,0.025,0.021
45.25,0.119,3.086,9.489,13.729,12.972,0.718,9.944,0.025,0.021
45.75,0.117,2.994,9.205,13.326,12.594,0.697,9.629,0.025,0.021
46.25,0.114,2.905,8.932,12.942,12.232,0.677,9.341,0.025,0.021
46.75,0.112,2.819,8.669,12.574,11.887,0.658,9.078,0.025,0.021
47.25,0.110,2.737,8.417,12.217,11.551,0.639,8.824,0.025,0.021
47.75,0.108,2.659,8.175,11.874,11.225,0.622,8.579,0.025,0.021
48.25,0.106,2.584,7.942,11.544,10.914,0.605,8.344,0.024,0.021
48.75,0.104,2.511,7.718,11.226,10.617,0.589,8.119,0.024,0.020
